id;nombre
0;na
1;AEROPUERTO
2;AMPLIACION
3;BARRIO
4;CANTON
5;CIUDAD
6;CIUDAD INDUSTRIAL
7;COLONIA
8;CONDOMINIO
9;CONJUNTO HABITACIONAL
10;CORREDOR INDUSTRIAL
11;CUARTEL
12;EJIDO
13;EXHACIENDA
14;FRACCION
15;FRACCIONAMIENTO
16;GRANJA
17;HACIENDA
18;LOCALIDAD
19;MANZANA
20;NINGUNO
21;PARAJE
22;PARQUE INDUSTRIAL
23;PRIVADA
24;PROLONGACION
25;PUEBLO
26;PUERTO
27;RANCHERIA
28;RANCHO
29;REGION
30;RESIDENCIAL
31;RINCONADA
32;SECCION
33;SECTOR
34;SUPERMANZANA
35;UNIDAD
36;UNIDAD HABITACIONAL
37;VILLA
38;ZONA COMERCIAL
39;ZONA FEDERAL
40;ZONA INDUSTRIAL
41;ZONA MILITAR
